index,radius_AU,mass,size
397,1.265022e+00,0.000000e+00,0.000000e+00
398,1.265022e+00,0.000000e+00,0.000000e+00
399,1.265022e+00,0.000000e+00,0.000000e+00
400,1.265022e+00,0.000000e+00,0.000000e+00
401,1.265022e+00,0.000000e+00,0.000000e+00
402,1.265022e+00,0.000000e+00,0.000000e+00
403,1.265022e+00,0.000000e+00,0.000000e+00
404,1.265022e+00,0.000000e+00,0.000000e+00
405,1.265022e+00,0.000000e+00,0.000000e+00
406,1.265022e+00,0.000000e+00,0.000000e+00
407,1.265022e+00,0.000000e+00,0.000000e+00
408,1.265022e+00,0.000000e+00,0.000000e+00
409,1.265023e+00,0.000000e+00,0.000000e+00
410,1.265023e+00,0.000000e+00,0.000000e+00
411,1.265023e+00,0.000000e+00,0.000000e+00
412,1.265023e+00,0.000000e+00,0.000000e+00
413,1.265023e+00,0.000000e+00,0.000000e+00
414,1.265023e+00,0.000000e+00,0.000000e+00
415,1.265023e+00,0.000000e+00,0.000000e+00
416,1.265023e+00,0.000000e+00,0.000000e+00
417,1.265023e+00,0.000000e+00,0.000000e+00
418,1.265023e+00,0.000000e+00,0.000000e+00
419,1.265023e+00,0.000000e+00,0.000000e+00
420,1.265023e+00,0.000000e+00,0.000000e+00
421,1.265024e+00,0.000000e+00,0.000000e+00
422,1.265024e+00,0.000000e+00,0.000000e+00
423,1.265024e+00,0.000000e+00,0.000000e+00
424,1.265024e+00,0.000000e+00,0.000000e+00
425,1.265024e+00,0.000000e+00,0.000000e+00
426,1.265024e+00,0.000000e+00,0.000000e+00
427,1.265024e+00,0.000000e+00,0.000000e+00
428,1.265024e+00,0.000000e+00,0.000000e+00
429,1.265024e+00,0.000000e+00,0.000000e+00
430,1.265024e+00,0.000000e+00,0.000000e+00
431,1.265024e+00,0.000000e+00,0.000000e+00
432,1.265024e+00,0.000000e+00,0.000000e+00
433,1.265024e+00,0.000000e+00,0.000000e+00
434,1.265024e+00,0.000000e+00,0.000000e+00
435,1.265025e+00,0.000000e+00,0.000000e+00
436,1.265025e+00,0.000000e+00,0.000000e+00
437,1.265025e+00,0.000000e+00,0.000000e+00
438,1.265025e+00,0.000000e+00,0.000000e+00
439,1.265025e+00,0.000000e+00,0.000000e+00
440,1.265025e+00,0.000000e+00,0.000000e+00
441,1.265025e+00,0.000000e+00,0.000000e+00
442,1.265025e+00,0.000000e+00,0.000000e+00
443,1.265025e+00,0.000000e+00,0.000000e+00
444,1.265025e+00,0.000000e+00,0.000000e+00
445,1.265025e+00,0.000000e+00,0.000000e+00
446,1.265025e+00,0.000000e+00,0.000000e+00
447,1.265025e+00,0.000000e+00,0.000000e+00
448,1.265025e+00,0.000000e+00,0.000000e+00
449,1.265025e+00,0.000000e+00,0.000000e+00
450,1.265026e+00,0.000000e+00,0.000000e+00
451,1.265026e+00,0.000000e+00,0.000000e+00
452,1.265026e+00,0.000000e+00,0.000000e+00
453,1.265026e+00,0.000000e+00,0.000000e+00
454,1.265026e+00,0.000000e+00,0.000000e+00
455,1.265026e+00,0.000000e+00,0.000000e+00
456,1.265026e+00,0.000000e+00,0.000000e+00
457,1.265026e+00,0.000000e+00,0.000000e+00
458,1.265026e+00,0.000000e+00,0.000000e+00
459,1.265026e+00,0.000000e+00,0.000000e+00
460,1.265026e+00,0.000000e+00,0.000000e+00
461,1.265026e+00,0.000000e+00,0.000000e+00
462,1.265026e+00,0.000000e+00,0.000000e+00
463,1.265026e+00,0.000000e+00,0.000000e+00
